time,symbol,qty,exec_price,cash,fees,equity,event
2024-12-07 06:00:00+00:00,CASH,500.0,1.0,500.0,0.0,500.0,pre_entry_cash
2024-12-07 07:00:00+00:00,CRV-USDT,82.6124644947655,1.2078,0.0,1.1033269161111183,498.89667308388886,fill_open_to_target
2024-12-07 07:00:00+00:00,HBAR-USDT,287.63969735875287,0.34689,0.0,1.1033269161111183,498.89667308388886,fill_open_to_target
2024-12-07 07:00:00+00:00,ONE-USDT,2242.736224247646,0.04449,0.0,1.1033269161111183,498.89667308388886,fill_open_to_target
2024-12-07 07:00:00+00:00,XLM-USDT,204.6713598013944,0.48751,0.0,1.1033269161111183,498.89667308388886,fill_open_to_target
2024-12-07 07:00:00+00:00,XRP-USDT,40.93847069165789,2.4373,0.0,1.1033269161111183,498.89667308388886,fill_open_to_target
2024-12-07 07:00:00+00:00,CRV-USDT,82.6124644947655,1.1969,0.0,0.0,488.7382217136144,mark_close_same_bar
2024-12-07 07:00:00+00:00,HBAR-USDT,287.63969735875287,0.33419,0.0,0.0,488.7382217136144,mark_close_same_bar
2024-12-07 07:00:00+00:00,ONE-USDT,2242.736224247646,0.04294,0.0,0.0,488.7382217136144,mark_close_same_bar
2024-12-07 07:00:00+00:00,XLM-USDT,204.6713598013944,0.48321,0.0,0.0,488.7382217136144,mark_close_same_bar
2024-12-07 07:00:00+00:00,XRP-USDT,40.93847069165789,2.4068,0.0,0.0,488.7382217136144,mark_close_same_bar
2024-12-07 08:00:00+00:00,CRV-USDT,82.6124644947655,1.2093,0.0,0.0,492.7954947143448,mark_close_hold
2024-12-07 08:00:00+00:00,HBAR-USDT,287.63969735875287,0.33321,0.0,0.0,492.7954947143448,mark_close_hold
2024-12-07 08:00:00+00:00,ONE-USDT,2242.736224247646,0.044,0.0,0.0,492.7954947143448,mark_close_hold
2024-12-07 08:00:00+00:00,XLM-USDT,204.6713598013944,0.48445,0.0,0.0,492.7954947143448,mark_close_hold
2024-12-07 08:00:00+00:00,XRP-USDT,40.93847069165789,2.4235,0.0,0.0,492.7954947143448,mark_close_hold
2024-12-07 09:00:00+00:00,CRV-USDT,82.6124644947655,1.1907,0.0,0.0,491.6889180289122,mark_close_hold
2024-12-07 09:00:00+00:00,HBAR-USDT,287.63969735875287,0.33387,0.0,0.0,491.6889180289122,mark_close_hold
