symbol,0
PENGU-USDT,0.3882075044993199
LSK-USDT,0.259602105082149
ZEC-USDT,0.21580032964532989
PUMP-USDT,0.1333685205270885
CRV-USDT,0.11829382330991163
XRP-USDT,0.0889041353838332
FET-USDT,0.08815562791806482
SUI-USDT,0.08229605300383518
OKB-USDT,0.0786504052675857
INJ-USDT,0.07488727189229469
HYPE-USDT,0.059605089409339944
XLM-USDT,0.04562592250844334
BCH-USDT,0.037294910398795476
ETH-USDT,0.036006792982018594
ENA-USDT,0.030626102307232762
DASH-USDT,0.02805548592953442
MINA-USDT,0.022866067195709036
HBAR-USDT,0.020724608332719194
UNI-USDT,0.018334252336313018
SUSHI-USDT,0.015911215340045817
AVAX-USDT,0.010469348901425285
TRX-USDT,0.010466950765976615
LINK-USDT,0.00837794259837182
AR-USDT,0.007089302521280145
PEPE-USDT,0.005739823352533306
BNB-USDT,0.004931520567853453
ORDI-USDT,0.0013686423627343792
DOT-USDT,0.0
ETC-USDT,0.0
FIL-USDT,0.0
VIRTUAL-USDT,0.0
SHIB-USDT,0.0
ONE-USDT,0.0
OP-USDT,0.0
CC-USDT,0.0
XPL-USDT,-0.002254931067880816
ADA-USDT,-0.0033527327906166735
CHIP-USDT,-0.00826969805913455
BTC-USDT,-0.009331069060341018
DOGE-USDT,-0.010907782154051434
AAVE-USDT,-0.01452733493091753
RAY-USDT,-0.016176305456566096
APT-USDT,-0.018094488463368606
SOL-USDT,-0.019255129116397818
ICP-USDT,-0.025941109895814784
MON-USDT,-0.026646432709928634
ZAMA-USDT,-0.027325453373647203
POL-USDT,-0.028508050669900194
NEAR-USDT,-0.03138166555891407
TIA-USDT,-0.031557367583278796
ONDO-USDT,-0.03676453782282518
LIT-USDT,-0.044699525228197395
PI-USDT,-0.0462684370188454
ETHFI-USDT,-0.04909681554126842
ZRO-USDT,-0.05055734810742076
ARB-USDT,-0.0616970133405409
LTC-USDT,-0.06895039730519482
WLD-USDT,-0.07419338825853838
STRK-USDT,-0.10286583991390796
BABY-USDT,-0.10363075461821794
JUP-USDT,-0.10425536490806993
TRUMP-USDT,-0.11494256714184682
